"Path","ExportStatus","ArtifactStatus","ArtifactImportFormat","ArtifactPayloadStatus","ExclusionPattern","SourceWidth","SourceHeight","DimensionStatus","SourceBytes","ImportMetadata","ImportModeName","ImportedFormats","VramTexture","CompressionTarget","AndroidFormat","Mipmaps","MipmapReview","SizeLimit","StaticMaxDisplayWidth","StaticMaxDisplayHeight","DisplayDiscovery","DisplayEvidence","DownsampleDecision","DecisionReasonCode"
"assets/android/launcher-adaptive-background-432.png","included","included","default","present","","432","432","measured","316741","tracked","Lossless","default","false","Lossless","LOSSLESS","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
"assets/android/launcher-adaptive-background-clickable-432.png","included","included","default","present","","432","432","measured","316741","tracked","Lossless","default","false","Lossless","LOSSLESS","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
"assets/android/launcher-adaptive-foreground-432.png","included","included","default","present","","432","432","measured","316741","tracked","Lossless","default","false","Lossless","LOSSLESS","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
"assets/android/launcher-adaptive-foreground-clickable-432.png","included","included","default","present","","432","432","measured","316741","tracked","Lossless","default","false","Lossless","LOSSLESS","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
"assets/android/launcher-main-192.png","included","included","default","present","","192","192","measured","74868","tracked","Lossless","default","false","Lossless","LOSSLESS","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
"assets/android/launcher-main-clickable-192.png","included","included","default","present","","192","192","measured","74868","tracked","Lossless","default","false","Lossless","LOSSLESS","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
"assets/content/achievements/achievement-credit.png","included","included","default","present","","512","392","measured","282588","tracked","Lossless","default","false","Lossless","LOSSLESS","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
"assets/content/achievements/achievement-crit.png","included","included","default","present","","512","392","measured","282588","tracked","Lossless","default","false","Lossless","LOSSLESS","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
"assets/content/achievements/achievement-cumulative-medals.png","included","included","astc","present","","512","512","measured","211845","tracked","VRAM Compressed","s3tc_bptc;etc2_astc","true","etc2_astc:s3tc_bptc;etc2_astc","ETC2_ASTC","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
"assets/content/achievements/achievement-total-level.png","included","included","astc","present","","512","512","measured","145377","tracked","VRAM Compressed","s3tc_bptc;etc2_astc","true","etc2_astc:s3tc_bptc;etc2_astc","ETC2_ASTC","false","disabled","0","","","unknown","No literal production display maximum was statically discoverable.","keep-current-native-viewport-bounded","SOURCE_WITHIN_NATIVE_VIEWPORT"
